timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-06-03,25.04,25.15,25.04,25.05,25.05,6900,0.0000,1.0
2024-05-31,25.046,25.16,25.04,25.04,25.04,23364,0.1480,1.0
2024-05-30,25.25,25.255,25.205,25.22,25.0717721585324,21211,0.0000,1.0
2024-05-29,25.1401,25.2421,25.1401,25.225,25.0767427715694,5411,0.0000,1.0
2024-05-28,25.16,25.23,25.13,25.1855,25.0374749285772,12739,0.0000,1.0
2024-05-24,25.23,25.23,25.13,25.16,25.0121248020886,2090,0.0000,1.0
2024-05-23,25.165,25.18,25.146,25.146,24.9982070855851,13837,0.0000,1.0
2024-05-22,25.17,25.2,25.1001,25.1255,24.9778275721334,2721,0.0000,1.0
2024-05-21,25.12,25.2281,25.1001,25.165,25.0170954151256,5794,0.0000,1.0
2024-05-20,25.15,25.23,25.095,25.1577,25.0098383200916,3399,0.0000,1.0
2024-05-17,25.17,25.17,25.0901,25.15,25.0021835760146,6308,0.0000,1.0
2024-05-16,25.07,25.155,25.07,25.155,25.0071541890516,1571,0.0000,1.0
2024-05-15,25.0742,25.13,25.0701,25.095,24.9475068326079,1875,0.0000,1.0
2024-05-14,25.06,25.13,25.06,25.0851,24.9376650187946,1778,0.0000,1.0
2024-05-13,25.11,25.128,25.085,25.1,24.9524774456448,4791,0.0000,1.0
2024-05-10,25.1,25.19,25.03,25.1019,24.9543662785989,19659,0.0000,1.0
2024-05-09,25.1299,25.1299,25.02,25.063,24.9156949091712,23754,0.0000,1.0
2024-05-08,25.105,25.105,25.031,25.0404,24.893227738244,12376,0.0000,1.0
2024-05-07,25.15,25.15,25.0303,25.09,24.9425362195709,3337,0.0000,1.0
2024-05-06,25.13,25.13,25.0401,25.1,24.9524774456448,12232,0.0000,1.0
2024-05-03,25.088,25.095,25.0501,25.095,24.9475068326079,1752,0.0000,1.0
2024-05-02,25.095,25.1125,25.03,25.075,24.9276243804599,13094,0.0000,1.0
2024-05-01,25.11,25.12,25.06,25.06,24.912712541349,2946,0.0000,1.0
2024-04-30,25.09,25.09,25.06,25.065,24.917683154386,2138,0.1161,1.0
2024-04-29,25.18,25.185,25.1081,25.15,24.8869579041703,4590,0.0000,1.0
2024-04-26,25.14,25.15,25.13,25.145,24.8820101988215,6150,0.0000,1.0
